names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country,date_fixed
Cinderella,"03/26/2015 ",68,"Romance, Fantasy, Family, Drama","When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.","Lily James, Cinderella, Cate Blanchett, Stepmother, Lady Tremaine, Richard Madden, Prince, Stellan Skarsgård, Grand Duke, Holliday Grainger, Anastasia Tremaine, Sophie McShera, Drizella Tremaine, Derek Jacobi, King, Helena Bonham Carter, Fairy Godmother, Nonso Anozie, Captain",Cinderella," Released"," English",2900000,263591415,AU,2015-03-26
"Wreck-It Ralph","12/26/2012 ",73,"Family, Animation, Comedy, Adventure","Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.","John C. Reilly, Wreck-It Ralph (voice), Sarah Silverman, Vanellope von Schweetz (voice), Jack McBrayer, Fix-It Felix (voice), Jane Lynch, Sergeant Calhoun (voice), Ed O'Neill, Mr. Litwak (voice), Dennis Haysbert, General Hologram (voice), Edie McClurg, Mary (voice), Alan Tudyk, King Candy (voice), Jess Harnell, Don (voice)","Wreck-It Ralph"," Released"," English",165000000,496511521,AU,2012-12-26
"The Equalizer","09/24/2014 ",72,"Thriller, Action, Crime","McCall believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when he meets Teri, a young girl under the control of ultra-violent Russian gangsters, he can't stand idly by - he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer.","Denzel Washington, Robert McCall, Marton Csokas, Teddy, Chloë Grace Moretz, Teri, Johnny Skourtis, Ralphie, David Harbour, Masters, Haley Bennett, Mandy, David Meunier, Slavi, Bill Pullman, Brian Plummer, Melissa Leo, Susan Plummer","The Equalizer"," Released"," English",55000000,192903624,AU,2014-09-24
1917,"01/09/2020 ",80,"War, Drama, History","At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.","George MacKay, Lance Corporal Schofield, Dean-Charles Chapman, Lance Corporal Blake, Mark Strong, Captain Smith, Andrew Scott, Lieutenant Leslie, Richard Madden, Lieutenant Blake, Claire Duburcq, Lauri, Colin Firth, General Erinmore, Benedict Cumberbatch, Colonel MacKenzie, Daniel Mays, Sergeant Sanders",1917," Released"," English",100000000,389140440,AU,2020-01-09
"Black Water: Abyss","08/07/2020 ",52,"Horror, Action, Adventure","An adventure-loving couple convince their friends to explore a remote, uncharted cave system in the forests of Northern Australia. With a tropical storm approaching, they abseil into the mouth of the cave, but when the caves start to flood, tensions rise as oxygen levels fall and the friends find themselves trapped. Unknown to them, the storm has also brought in a pack of dangerous and hungry crocodiles.","Jessica McNamee, Jennifer, Luke Mitchell, Eric, Amali Golden, Yolanda, Benjamin Hoetjes, Viktor, Anthony J. Sharpe, Cash, Louis Toshio Okada, Akito, Rumi Kikuchi, Miyuki, Anna Kubat, , Nicole Collett, ","Black Water: Abyss"," Released"," English",7060000,1117982,US,2020-08-07
"Golden Escape","08/05/2022 ",67,"Drama, Crime","We don't have an overview translated in English. Help us expand our database by adding one.","Justin Cheung, , Ray Lui, , Ricky Chan Po-Yuen, , Kent Tong, , Sam Lee, , Qiu Zijian, Sha Qian, Cai Deheng, Shan Shan"," 黄金大逃狱"," Released"," Chinese",84800000,353650070,CN,2022-08-05
"Magnum Opus","07/18/2022 ",74,"Animation, Family, Science Fiction, Comedy","Groot sets out to paint a family portrait of himself and the Guardians, only to discover just how messy the artistic process can be.","Vin Diesel, Baby Groot (voice), Bradley Cooper, Rocket (voice), Fred Tatasciore, Additional Voices (voice)","Magnum Opus"," Released"," English",153000000,648868926.4,US,2022-07-18
"...Watch Out, We're Mad","03/23/2022 ",62,"Comedy, Action","Estranged, quarreling brothers Carezza and Sorriso have to put aside their differences to reclaim their father's beloved dune buggy from predatory real estate developer Torsillo, with the help of beautiful circus performer Miriam, whose family business is threatened by Torsillo's enforcers.","Edoardo Pesce, Carezza, Alessandro Roja, Sorriso, Alessandra Mastronardi, Miriam, Christian De Sica, Torsillo, Francesco Bruni, Raniero, Massimiliano Rossi, Scajone, Michael Schermi, Armandino, Gabriele Cristini, Young Carezza, Christian Monaldi, Young Sorriso"," ...altrimenti ci arrabbiamo!"," Released"," Italian",147000000,296181163,IT,2022-03-23
"The Hangover Part III","05/23/2013 ",62,Comedy,"This time, there's no wedding. No bachelor party. What could go wrong, right? But when the Wolfpack hits the road, all bets are off.","Bradley Cooper, Phil Wenneck, Ed Helms, Stu Price, Zach Galifianakis, Alan Garner, Justin Bartha, Doug Billings, Ken Jeong, Mr. Chow, John Goodman, Marshall, Mike Epps, Black Doug, Jeffrey Tambor, Sid Garner, Melissa McCarthy, Cassie","The Hangover Part III"," Released"," English",103000000,362000072,AU,2013-05-23
"Black Site","11/23/2022 ",67,"Action, Thriller","A group of officers based in a labyrinthine top-secret prison must fight for their lives against Hatchet, a brilliant and infamous high-value detainee. When he escapes, his mysterious and deadly agenda has far reaching and dire consequences.","Jason Clarke, Hatchet, Michelle Monaghan, Abby Trent, Jai Courtney, Miller, Pallavi Sharda, Tessa, Fayssal Bazzi, Rashid Nassar, Uli Latukefu, Palau, Lucy Barrett, Mia, Logan Huffman, Chaplain, Phoenix Raei, Uri","Black Site"," Released"," English",69400000,240033015.8,AU,2022-11-23
"Ice Age: The Meltdown","04/06/2006 ",67,"Animation, Family, Comedy, Adventure","Diego, Manny and Sid return in this sequel to the hit animated movie Ice Age. This time around, the deep freeze is over, and the ice-covered earth is starting to melt, which will destroy the trio's cherished valley. The impending disaster prompts them to reunite and warn all the other beasts about the desperate situation.","Ray Romano, Manny (voice), John Leguizamo, Sid (voice), Denis Leary, Diego (voice), Queen Latifah, Ellie (voice), Seann William Scott, Crash (voice), Josh Peck, Eddie (voice), Jay Leno, Fast Tony (voice), Will Arnett, Lone Gunslinger Vulture (voice), Chris Wedge, Scrat (voice)","Ice Age: The Meltdown"," Released"," English",75000000,651899282,AU,2006-04-06
"The Intouchables","05/18/2012 ",83,"Drama, Comedy","A true story of two men who should never have met - a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.","François Cluzet, Philippe, Omar Sy, Driss, Anne Le Ny, Yvonne, Clotilde Mollet, Marcelle, Alba Gaïa Bellugi, Elisa, Audrey Fleurot, Magalie, Cyril Mendy, Adama, Christian Ameri, Albert, Marie-Laure Descoureaux, Chantal"," Intouchables"," Released"," French",13000000,426588510,AU,2012-05-18
"Girl in the Basement","02/27/2021 ",79,"Crime, Thriller, TV Movie","Sara is a teen girl who is looking forward to her 18th birthday to move away from her controlling father Don. But before she could even blow out the candles, Don imprisons her in the basement of their home.","Judd Nelson, Don, Stefanie Scott, Sara, Joely Fisher, Irene, Braxton Bjerken, Michael, Kim Rosen, Doctor, Emily Topper, Amy, Emma Myers, Marie, Jake Nuttall, Thomas, Liam Pileggi, Toddler Michael","Girl in the Basement"," Released"," English",135000000,684741124.6,US,2021-02-27
Ambulance,"04/07/2022 ",68,"Thriller, Action","Decorated veteran Will Sharp, desperate for money to cover his wife's medical bills, asks for help from his adoptive brother Danny. A charismatic career criminal, Danny instead offers him a score: the biggest bank heist in Los Angeles history: $32 million.","Jake Gyllenhaal, Danny Sharp, Yahya Abdul-Mateen II, Will Sharp, Eiza González, Cam Thompson, Garret Dillahunt, Captain Monroe, Keir O'Donnell, FBI Agent Anson Clark, Jackson White, Officer Zach, Olivia Stambouliah, Lieutenant Dhazghig, Moses Ingram, Amy Sharp, Colin Woodell, EMT Scott",Ambulance," Released"," English",40000000,51783040,AU,2022-04-07
"Dragon Ball Z: Broly - Second Coming","03/12/1994 ",67,"Animation, Action, Science Fiction","A Saiyan Space pod crash-lands on Earth out of which a wounded Saiyan crawls: Broly, the Legendary Super Saiyan. The wounded Broly shouts out in frustration and turns into normal form. The place soon freezes, trapping him in it and he falls into a coma.","Masako Nozawa, Son Gokû / Son Gohan / Son Goten (voice), Mayumi Tanaka, Krillin (voice), Takeshi Kusao, Trunks (voice), Yuko Minaguchi, Videl (voice), Junko Shimakata, Koko (voice), Chafurin, Shaman (voice), Hisao Egawa, Villager A (voice), Yoshiyuki Kôno, Villager B (voice), Asuka Kimura, Villager C (voice)"," ドラゴンボールＺ 危険なふたり！超戦士はねむれない"," Released"," Japanese",59080000,24200000,JP,1994-03-12
Host,"07/30/2020 ",65,"Horror, Thriller, Mystery","Six friends hire a medium to hold a séance via Zoom during lockdown - but they get far more than they bargained for as things quickly go wrong. When an evil spirit starts invading their homes, they begin to realize they might not survive the night.","Haley Bishop, Haley, Jemma Moore, Jemma, Emma Louise Webb, Emma, Radina Drandova, Radina, Caroline Ward, Caroline, Edward Linard, Teddy, Seylan Baxter, Seylan, Alan Emrys, Alan, Jinny Lofthouse, Jinny",Host," Released"," English",35000,436536,US,2020-07-30
"The Rape","05/15/1982 ",35,Drama,"Yahagi Michiko is accosted and raped walking home one evening. From there she maneuvers the logistics of the police, hospital, and criminal justice system while balancing her home life including romantic relationships.","Yūko Tanaka, Michiko Yahagi, Morio Kazama, Shogo Ueda, Masahiko Tsugawa, Saburo Takagi, Takanori Goto, Kurose Yuichiro, Hiroshi Kashiwagi, Chief Justice, Hatsunori Hasegawa, Hiroshi Inoue, Yoshio Hayashi, , Toshiya Ito, Akira Taniguchi, Mariko Kaga, Owner of Patel"," ザ・レイプ"," Released"," Japanese",47270000,329856760.8,JP,1982-05-15
Blended,"06/11/2014 ",69,"Comedy, Romance","Recently divorced mom Lauren and widowed dad Jim let their friends push them into a blind date, which goes disastrously wrong. Unsurprisingly, neither wants to see the other ever again. However, fate intervenes when both Jim and Lauren, unbeknown to each other, purchase one-half of the same vacation package at a South African resort for families. They and their children are forced to share the same suite and participate in a slew of family activities together, where their attractions grows as their respective kids benefit from the burgeoning relationship.","Adam Sandler, Jim, Drew Barrymore, Lauren, Wendi McLendon-Covey, Jen, Bella Thorne, Hilary, Terry Crews, Nickens, Joel McHale, Mark, Lauren Lapkus, Tracy, Kevin Nealon, Eddy, Alyvia Alyn Lind, Lou",Blended," Released"," English",45000000,127990741,AU,2014-06-11
"Don't Breathe 2","08/20/2021 ",72,"Thriller, Horror","The Blind Man has been hiding out for several years in an isolated cabin and has taken in and raised a young girl orphaned from a devastating house fire. Their quiet life together is shattered when a group of criminals kidnap the girl, forcing the Blind Man to leave his safe haven to save her.","Stephen Lang, The Blind Man, Brendan Sexton III, Raylan, Madelyn Grace, Phoenix, Stephanie Arcila, Hernandez, Rocci Williams, Duke, Bobby Schofield, Jared, Adam Young, Jim Bob, Fiona O'Shaughnessy, The Mother (Josephine), Steffan Rhodri, The Surgeon","Don't Breathe 2"," Released"," English",10000000,53785551,AU,2021-08-20
"Jurassic World: Fallen Kingdom","06/21/2018 ",66,"Action, Adventure, Science Fiction, Thriller","When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.","Chris Pratt, Owen Grady, Bryce Dallas Howard, Claire Dearing, Rafe Spall, Eli Mills, Toby Jones, Mr. Eversoll, Ted Levine, Ken Wheatley, BD Wong, Dr. Henry Wu, Jeff Goldblum, Dr. Ian Malcolm, Justice Smith, Franklin Webb, Daniella Pineda, Zia Rodriguez","Jurassic World: Fallen Kingdom"," Released"," English",170000000,1308323302,AU,2018-06-21
"Naruto Shippuden the Movie: Blood Prison","07/30/2011 ",73,"Thriller, Animation, Action, Comedy, Horror, Mystery","After his capture for attempted assassination of the Raikage, leader of Kumogakure, as well as killing Jōnin from Kirigakure and Iwagakure, Naruto is imprisoned in Hōzukijou: A criminal containment facility known as the Blood Prison. Mui, the castle master, uses the ultimate imprisonment technique to steal power from the prisoners, which is when Naruto notices his life has been targeted. Thus begins the battle to uncover the truth behind the mysterious murders and prove Naruto's innocence.","Junko Takeuchi, Naruto (voice), Mie Sonozaki, Ryûzetsu (voice), Masaki Terasoma, Mui (voice), Chie Nakamura, Sakura Haruno (voice), Rikiya Koyama, Yamato (voice), Kazuhiko Inoue, Kakashi Hatake (voice), Yuichi Nakamura, Muku / Satori (voice), Kengo Kawanishi, Muku (young) (voice), Kosei Hirota, Kazan (voice)"," 劇場版 NARUTO -ナルト- ブラッド・プリズン"," Released"," Japanese",1545000,9100000,JP,2011-07-30
Bubble,"04/28/2022 ",75,"Animation, Adventure, Science Fiction","In an abandoned Tokyo overrun by bubbles and gravitational abnormalities, one gifted young man has a fateful meeting with a mysterious girl.","Jun Shison, Hibiki (voice), Riria, Uta (voice), Alice Hirose, Makoto (voice), Mamoru Miyano, Shin (voice), Yuki Kaji, Kai (voice), Tasuku Hatanaka, Denki Ninja Leader (voice), Sayaka Senbongi, Usagi (voice), Ryota Osaka, Isozaki (voice), Wataru Hatano, Osawa (voice)"," バブル"," Released"," Japanese",1600000,145382,JP,2022-04-28
"The Meg","08/16/2018 ",62,"Action, Science Fiction, Horror","A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct.","Jason Statham, Jonas Taylor, Li Bingbing, Suyin, Rainn Wilson, Morris, Cliff Curtis, 'Mac', Ruby Rose, Jaxx, Jessica McNamee, Lori, Masi Oka, Toshi, Winston Chao, Zhang, Shuya Sophia Cai, Meiying","The Meg"," Released"," English",178000000,527267828,AU,2018-08-16
Coherence,"09/19/2013 ",73,"Thriller, Science Fiction","On the night of an astronomical anomaly, eight friends at a dinner party experience a troubling chain of reality bending events.","Emily Baldoni, Em, Maury Sterling, Kevin, Nicholas Brendon, Mike, Lorene Scafaria, Lee, Elizabeth Gracen, Beth, Hugo Armstrong, Hugh, Alex Manugian, Amir, Lauren Maher, Laurie, Kelly Donovan, Extra",Coherence," Released"," English",2037792,102617,US,2013-09-19
"The Commando","04/01/2022 ",57,"Action, Crime, Thriller","An elite DEA agent returns home after a failed mission when his family makes an unexpected discovery in their house - a stash of money worth $3 million. They soon face the danger and threat of a newly released criminal and his crew, who will do whatever it takes to retrieve the money, including kidnap the agent's daughters. Stakes are high and lives are at risk in this head-to-head battle as the agent stops at nothing to protect his family against the money-hungry criminals.","Michael Jai White, James Baker, Mickey Rourke, Johnny, Jeff Fahey, Sheriff Alexander, Brendan Fehr, Sebastian, Aris Mejias, Lisa, Gianni Capaldi, Dominic, Donald Cerrone, Ray, John Enos III, Trey, James Chalke, Parole Officer Davis","The Commando"," Released"," English",117000000,272244777,AU,2022-04-01
"Fate/Grand Order the Movie: Divine Realm Of The Round Table: Camelot Paladin; Agateram","08/26/2021 ",58,"Animation, Action, Adventure, History, Drama, Fantasy","Part two of Fate/Grand Order: Shinsei Entaku Ryouiki Camelot - Wandering; Agateram; an adaptation of the the Sixth Holy Grail War, The Sacred Round Table Realm Camelot Singularity of Fate/Grand Order.","Mamoru Miyano, Bedivere (voice), Nobunaga Shimazaki, Ritsuka Fujimaru (voice), Rie Takahashi, Mash Kyrielight (voice), Maaya Sakamoto, Leonardo da Vinci (voice), Ayako Kawasumi, The Lion King (voice), Takahiro Mizushima, Gawain (voice), Miyuki Sawashiro, Mordred (voice), Ryotaro Okiayu, Lancelot (voice), Koki Uchiyama, Tristan (voice)"," Fate/Grand Order -神聖円卓領域キャメロット-後編 Paladin; Agateram"," Released"," Japanese",102000000,441454936.4,AU,2021-08-26
Spiderhead,"06/17/2022 ",58,"Science Fiction, Thriller","A prisoner in a state-of-the-art penitentiary begins to question the purpose of the emotion-controlling drugs he's testing for a pharmaceutical genius.","Chris Hemsworth, Steve Abnesti, Miles Teller, Jeff, Jurnee Smollett, Lizzy, Mark Paguio, Mark Verlaine, Tess Haubrich, Heather, BeBe Bettencourt, Emma, Nathan Jones, Rogan, Angie Miliken, Sarah, Ron Smyck, Dave",Spiderhead," Released"," English",102800000,365455879.6,AU,2022-06-17
"Transformers: The Last Knight","06/16/2017 ",61,"Action, Adventure, Science Fiction","Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.","Mark Wahlberg, Cade Yeager, Josh Duhamel, Col. William Lennox, Stanley Tucci, Merlin, Anthony Hopkins, Sir Edmund Burton, Laura Haddock, Vivian Wembley, Jerrod Carmichael, Jimmy, Isabela Merced, Izabella, Santiago Cabrera, Santos, Minti Gorne, Young Viviane","Transformers: The Last Knight"," Released"," English",217000000,602893340,AU,2017-06-16
"The Red Book Ritual","09/13/2022 ",56,Horror,"Three friends decide to play The Red Book game. What they don't know is that in the house evil is waiting to be released. A long time ago a witch died as part of a satanic ritual. Every question they ask, they get closer and closer to her. The book will reveal the answers to all your questions… but what if your host is an evil entity with a thirst for blood?","Valeria San Martin, Bea, Agustin Olcese, Justin, Marlene Pedersen Chauviere, Sophia, Bruno Giacobbe, Witch, Agustin Bogliano, Ethan, Marcos Bogliano, Boy, Martín Canalicchio, Korean Man, Ines Corengia, Bea's mother, Paulo Vilela, Shadow Ghost","The Red Book Ritual"," Released"," English",141600000,522659686.2,US,2022-09-13
Parasite,"06/17/2019 ",85,"Comedy, Thriller, Drama","All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.","Song Kang-ho, Kim Ki-taek, Lee Sun-kyun, Park Dong-ik, Cho Yeo-jeong, Yeon-kyo, Choi Woo-shik, Ki-woo, Park So-dam, Ki-jung, Lee Jung-eun, Moon-gwang, Jang Hye-jin, Chung-sook, Park Myung-hoon, Geun-se, Jung Ji-so, Da-hye"," 기생충"," Released"," Korean",11363000,257591776,AU,2019-06-17
"Wonder Woman 1984","12/26/2020 ",65,"Action, Adventure, Fantasy","A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.","Gal Gadot, Diana Prince / Wonder Woman, Chris Pine, Steve Trevor, Kristen Wiig, Barbara Ann Minerva / Cheetah, Pedro Pascal, Maxwell Lord, Robin Wright, Antiope, Connie Nielsen, Hippolyta, Lilly Aspell, Young Diana, Amr Waked, Emir Said Bin Abydos, Kristoffer Polaha, Handsome Man","Wonder Woman 1984"," Released"," English",200000000,166360232,AU,2020-12-26
"Jumanji: The Next Level","12/26/2019 ",69,"Adventure, Comedy, Fantasy","As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world's most dangerous game.","Dwayne Johnson, Dr. Smolder Bravestone, Kevin Hart, Franklin 'Mouse' Finbar, Jack Black, Professor Sheldon 'Shelly' Oberon, Karen Gillan, Ruby Roundhouse, Awkwafina, Ming, Nick Jonas, Jefferson 'Seaplane' McDonough, Alex Wolff, Spencer Gilpin, Morgan Turner, Martha Kaply, Madison Iseman, Bethany","Jumanji: The Next Level"," Released"," English",125000000,798210215,AU,2019-12-26
"Dragon Ball Z: Bojack Unbound","07/10/1993 ",71,"Action, Animation, Science Fiction","Mr. Money is holding another World Martial Arts Tournament and Mr. Satan invites everyone in the world to join in. Little does he know that Bojack, an ancient villain who has escaped his prison, is competing. Since Goku is currently dead, it is up to Gohan, Vegeta, and Trunks to defeat Bojack and his henchman.","Masako Nozawa, Son Goku / Son Gohan (voice), Daisuke Gôri, Mr. Satan (voice), Tessyo Genda, Bojack (voice), Toshio Furukawa, Piccolo (voice), Mayumi Tanaka, Kuririn (voice), Takeshi Kusao, Future Trunks (voice), Tomoko Maruo, Zangya (voice), Ryou Horikawa, Vegeta (voice), Hirotaka Suzuoki, Tenshinhan (voice)"," ドラゴンボールZ 銀河ギリギリ!! ぶっちぎりの凄い奴"," Released"," Japanese",24812400,20100000,JP,1993-07-10
"Tinker Bell and the Legend of the NeverBeast","07/22/2015 ",72,"Adventure, Animation, Family","An ancient myth of a massive creature sparks the curiosity of Tinker Bell and her good friend Fawn, an animal fairy who's not afraid to break the rules to help an animal in need. But this creature is not welcome in Pixie Hollow - and the scout fairies are determined to capture the mysterious beast, who they fear will destroy their home. Fawn must convince her fairy friends to risk everything to rescue the NeverBeast.","Ginnifer Goodwin, Fawn (voice), Mae Whitman, Tinker Bell (voice), Rosario Dawson, Nyx (voice), Lucy Liu, Silvermist (voice), Raven-Symoné, Iridessa (voice), Megan Hilty, Rosetta (voice), Pamela Adlon, Vidia (voice), Danai Gurira, Fury (voice), Chloe Bennet, Chase (voice)","Tinker Bell and the Legend of the NeverBeast"," Released"," English",73800000,394200421.4,AU,2015-07-22
"Mia and Me: The Hero of Centopia","10/27/2022 ",71,"Animation, Fantasy, Adventure","Mia discovers her magic stone is part of an ancient prophecy and embarks on a thrilling journey to the farthest islands of Centopia to face a great evil, and shape her own destiny.","Julian Maroun, Nino, Bettina Kenney, (voice), Margot Nuccetelli, Mia, Elisa Boyd, Mother of Mia, James Dyke, Mo (voice), Vivien Battley, Young Mia, Dave Willetts, ","Mia and Me: The Hero of Centopia"," Released"," English",106200000,588649044.6,AU,2022-10-27
"Groot's Pursuit","08/10/2022 ",72,"Animation, Family, Comedy, Science Fiction","Groot investigates a spooky noise that's been haunting the Quadrant, which leads to an intense dance off.","Vin Diesel, Baby Groot (voice), James Gunn, Wrist Watch Voice (voice), Trevor Devall, Iwua (voice), Terri Douglas, Additional Voices (voice)","Groot's Pursuit"," Released"," English",97600000,571300438.6,US,2022-08-10
"Road to Ninja: Naruto the Movie","07/28/2012 ",76,"Animation, Fantasy, Action","Sixteen years ago, a mysterious masked ninja unleashes a powerful creature known as the Nine-Tailed Demon Fox on the Hidden Leaf Village Konoha, killing many people. In response, the Fourth Hokage Minato Namikaze and his wife Kushina Uzumaki, the Demon Fox's living prison or Jinchūriki, manage to seal the creature inside their newborn son Naruto Uzumaki. With the Tailed Beast sealed, things continued as normal. However, in the present day, peace ended when a group of ninja called the Akatsuki attack Konoha under the guidance of Tobi, the mysterious masked man behind Fox's rampage years ago who intends on executing his plan to rule the world by shrouding it in illusions.","Junko Takeuchi, Naruto Uzumaki (voice), Chie Nakamura, Sakura Haruno (voice), Toshiyuki Morikawa, Minato Namikaze (voice), Emi Shinohara, Kushina Uzumaki (voice), Kazuhiko Inoue, Kakashi Hatake (voice), Naoya Uchida, Masked Man (voice), Noriaki Sugiyama, Sasuke Uchiha (voice), Nana Mizuki, Hinata Hyuuga (voice), Hideo Ishikawa, Itachi Uchiha (voice)"," ROAD TO NINJA -NARUTO THE MOVIE-"," Released"," Japanese",44304333.2,17900000,JP,2012-07-28
"Mobile Suit Gundam Hathaway","06/11/2021 ",74,"Animation, Action, Drama, Science Fiction","After Char's rebellion, Hathaway Noa leads an insurgency against Earth Federation, but meeting an enemy officer and a mysterious woman alters his fate.","Kensho Ono, Hathaway Noa (voice), Reina Ueda, Gigi Andalucia (voice), Junichi Suwabe, Kenneth Sleg (voice), Soma Saito, Lane Aim (voice), Atsumi Tanezaki, Mace Flower (voice), Kenjiro Tsuda, Gawman Nobile (voice), Toru Furuya, Amuro (voice), Shunpei Kusano, Maximilian Nikolai (voice), Atsuko Sakuraoka, Middle-Aged Woman (voice)"," 機動戦士ガンダム 閃光のハサウェイ"," Released"," Japanese",78600000,660438536.2,JP,2021-06-11
Inexorable,"04/06/2022 ",59,Thriller,"Desperately seeking inspiration for the follow-up novel to his bestseller "Inexorable", Marcel Bellmer moves in his wife's old family mansion with his family.","Benoît Poelvoorde, Marcel Bellmer, Alba Gaïa Bellugi, Gloria Bartel, Mélanie Doutey, Jeanne Drahi Bellmer, Anaël Snoek, Paola, Jackie Berroyer, Le taulier, Catherine Salée, La journaliste, Janaïna Halloy Fokan, Lucie Drahi Bellmer, Sam Louwyck, Harry Ledoux, Tania Garbarski, Elia",Inexorable," Released"," French",164900000,690959382.4,FR,2022-04-06
WALL·E,"09/18/2008 ",81,"Animation, Family, Science Fiction","WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.","Ben Burtt, WALL·E / M-O (voice), Elissa Knight, EVE (voice), Jeff Garlin, Captain (voice), Fred Willard, Shelby Forthright, BnL CEO, John Ratzenberger, John (voice), Kathy Najimy, Mary (voice), Sigourney Weaver, Ship's Computer (voice), Teddy Newton, Additional Voices (voice), Bob Bergen, Additional Voices (voice)",WALL·E," Released"," English",180000000,521311860,AU,2008-09-18
"Legend Quest: The Origin","02/15/2021 ",83,"Animation, Comedy, Fantasy, Adventure, Family","When a human baby crosses the Eternal Mirror, the portal between the living and the death opens its path to the beings from the underworld.","Bruno Bichir, Aniceto (voice), Paola Ramones, Moribunda (voice), Eduardo España, Evaristo (voice), Mayte Cordeiro, Teodora (voice), Annie Rojas, Xochitl (voice)"," Las Leyendas: El Origen"," Released"," Spanish, Castilian",109200000,728382406.2,MX,2021-02-15
"The Banshees of Inisherin","12/26/2022 ",75,"Drama, Comedy","Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.","Colin Farrell, Pádraic Súilleabháin, Brendan Gleeson, Colm Doherty, Kerry Condon, Siobhán Súilleabháin, Barry Keoghan, Dominic Kearney, Gary Lydon, Peadar Kearney, Pat Shortt, Jonjo Devine, Jon Kenny, Gerry, Sheila Flitton, Mrs. McCormick, David Pearse, Priest","The Banshees of Inisherin"," Released"," English",515001.4,41000000,AU,2022-12-26
"The Hobbit: The Desolation of Smaug","12/26/2013 ",76,"Fantasy, Adventure, Action","The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.","Ian McKellen, Gandalf, Martin Freeman, Bilbo Baggins, Richard Armitage, Thorin Oakenshield, Benedict Cumberbatch, Smaug / Necromancer, Orlando Bloom, Legolas, Evangeline Lilly, Tauriel, Lee Pace, Thranduil, Luke Evans, Bard / Girion, Stephen Fry, The Master of Laketown","The Hobbit: The Desolation of Smaug"," Released"," English",250000000,959358436,AU,2013-12-26
Ava,"09/02/2020 ",58,"Action, Crime, Drama, Adventure, Thriller","A black ops assassin is forced to fight for her own survival after a job goes dangerously wrong.","Jessica Chastain, Ava, John Malkovich, Duke, Common, Michael, Colin Farrell, Simon, Geena Davis, Bobbi, Jess Weixler, Judy, Ioan Gruffudd, Peter, Diana Silvers, Camille, Joan Chen, Toni",Ava," Released"," English",12000000,2987741,AU,2020-09-02
"The Blind Side","02/25/2010 ",77,Drama,"The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.","Sandra Bullock, Leigh Anne Tuohy, Tim McGraw, Sean Tuohy, Quinton Aaron, Michael Oher, Jae Head, S.J. Tuohy, Lily Collins, Collins Tuohy, Ray McKinnon, Coach Cotton, Kim Dickens, Mrs. Boswell, Adriane Lenox, Denise Oher, Kathy Bates, Miss Sue","The Blind Side"," Released"," English",35000000,305705794,AU,2010-02-25
